bairro;idhm_2000;idhm_2010;idhm_logi_2000;idhm_logi_2010;idhm_educ_2000;idhm_educ_2010;renda_2000;renda_2010;;
SARANDI;0,585;0,685;0,755;0,784;0,392;0,492;506,973;710,62;;
SERRARIA;0,522;0,619;0,72;0,765;0,327;0,492;339,96;400,1;;
TERESOPOLIS;0,688;0,745;0,833;0,865;0,553;0,672;835,485;1018,76;;
TRES FIGUEIRAS;0,924;0,958;0,898;0,952;0,879;0,924;4822,42;7216,42;;
TRISTEZA;0,863;0,925;0,878;0,929;0,802;0,878;2364,92;3371,41;;
VILA ASSUNCAO;0,77;0,845;0,847;0,897;0,666;0,776;1802,98;2374,92;;-
VILA CONCEICAO;0,71;0,804;0,803;0,864;0,595;0,724;1670,72;2237,815;;
VILA IPIRANGA;0,751;0,869;0,84;0,915;0,661;0,871;1058,12;3333,12;;
VILA JARDIM;0,745;0,815;0,849;0,912;0,724;0,787;1180,566;1592,139;;
VILA NOVA;0,644;0,727;0,801;0,852;0,513;0,6235;784,299;1045,146;;
SAO JOSE;0,606;0,708;0,76;0,812;0,408;0,566;553,563;750,425;;
VILA JOAO PESSOA;0,621;0,704;0,793;0,811;0,467;0,567;595,62;766,57;;
