bairro;idhm_2000;idhm_2010;idhm_logi_2000;idhm_logi_2010;idhm_educ_2000;idhm_educ_2010;renda_2000;renda_2010;;;;;;;;;;;;
MORRO SANTANA;0,68949345;0,763320709;0,81166126;0,863309198;0,564414639;0,672961436;996,6;1739,1;;;;;;;;;;;;
NAVEGANTES;0,738;0,787216807;0,844;0,879814646;0,616;0,704718607;1111,36;1800,3;;;;;;;;;;;;
NONOAI;0,7680181;0,831616378;0,843973782;0,894493841;0,674214826;0,766534785;1414,87;2606,1;;;;;;;;;;;;
PARTENON;0,719166241;0,793704378;0,820448838;0,872725863;0,607347016;0,720913186;1230,65;2111,4;;;;;;;;;;;;
PASSO DA AREIA;0,834363118;0,878496723;0,860214699;0,917141921;0,798734878;0,828898334;1426,95;2896,8;;;;;;;;;;;;
PASSO DAS PEDRAS;0,655134588;0,744606078;0,792664019;0,843961152;0,51700277;0,648672498;916,57;1728,9;;;;;;;;;;;;
PETROPOLIS;0,911184237;0,950263609;0,887415067;0,935576438;0,882142205;0,926440964;3071,34;5451,9;;;;;;;;;;;;
PONTA GROSSA;0,688386322;0,751617375;0,827229179;0,86504676;0,544025228;0,644902207;848,62;1479;;;;;;;;;;;;
PRAIA DE BELAS;0,91;0,856476618;0,886;0,895527161;0,895;0,78667265;1922,23;3656,7;;;;;;;;;;;;
RESTINGA;0,562052276;0,670170742;0,755033922;0,805183092;0,37358211;0,542993776;537,56;1071;;;;;;;;;;;;
RIO BRANCO;0,919938084;0,955218356;0,891497511;0,945880383;0,900274736;0,923443671;3198,18;6104,7;;;;;;;;;;;;
RUBEM BERTA;0,689203659;0,775209777;0,813522666;0,86275736;0,559367569;0,704122756;907,51;1550,4;;;;;;;;;;;;
SANTA CECILIA;0,863;0,94;0,878;0,932;0,803;0,908;2227,25;3870,9;;;;;;;;;;;;
SANTA MARIA GORETTI;0,804;0,846;0,849;0,91;0,764;0,79;1330,31;2249,1;;;;;;;;;;;;
SANTA TEREZA;0,624801272;0,713244915;0,777314123;0,828968525;0,463943076;0,598936528;976,97;1774,8;;;;;;;;;;;;
